STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
1001599999,1/30/1995,61.383,5.867,327,"BRINGELAND, NO",25.1,14,22.4,14,9999.9,0,999.9,0,6.5,14,3.7,14,5.1,999.9,28.4,*,19.4,*,99.99, ,999.9,1000
1001599999,1/31/1995,61.383,5.867,327,"BRINGELAND, NO",31,14,24.4,14,9999.9,0,999.9,0,4.2,14,14.8,14,27,36.9,37.4,*,26.6,*,99.99, ,999.9,11000
1001599999,2/1/1995,61.383,5.867,327,"BRINGELAND, NO",34.6,15,34,15,9999.9,0,999.9,0,4.1,13,9.9,15,18.1,30.9,37.4,*,32,*,99.99, ,999.9,111000
1001599999,2/2/1995,61.383,5.867,327,"BRINGELAND, NO",23,9,21.4,9,9999.9,0,999.9,0,5.5,8,6.9,9,11.1,999.9,24.8,*,21.2,*,99.99, ,999.9,1000
1001599999,2/3/1995,61.383,5.867,327,"BRINGELAND, NO",34.6,11,34.6,11,9999.9,0,999.9,0,3.8,11,12.7,11,18.1,32.1,37.4,*,30.2,*,99.99, ,999.9,11000
1001599999,2/4/1995,61.383,5.867,327,"BRINGELAND, NO",33.5,7,32.8,7,9999.9,0,999.9,0,7,7,14.5,7,18.1,999.9,35.6,*,32,*,0,I,999.9,0
1001599999,2/5/1995,61.383,5.867,327,"BRINGELAND, NO",36.6,9,36.6,9,9999.9,0,999.9,0,1.4,9,6.2,9,8,999.9,39.2,*,32,*,99.99, ,999.9,111000
1001599999,2/6/1995,61.383,5.867,327,"BRINGELAND, NO",31.9,15,30.4,15,9999.9,0,999.9,0,4.3,15,3.9,15,7,999.9,35.6,*,26.6,*,99.99, ,999.9,1000
1001599999,2/7/1995,61.383,5.867,327,"BRINGELAND, NO",26,14,25.6,14,9999.9,0,999.9,0,3.8,14,3.4,14,8.9,999.9,28.4,*,24.8,*,99.99, ,999.9,1000
1001599999,2/8/1995,61.383,5.867,327,"BRINGELAND, NO",22.4,12,20.4,12,9999.9,0,999.9,0,4.6,12,8.2,12,15.9,16.9,24.8,*,19.4,*,99.99, ,999.9,1000
1001599999,2/9/1995,61.383,5.867,327,"BRINGELAND, NO",23.5,14,23.5,14,9999.9,0,999.9,0,2.9,14,3.3,14,8,999.9,26.6,*,19.4,*,99.99, ,999.9,1000
1001599999,2/10/1995,61.383,5.867,327,"BRINGELAND, NO",20.1,13,20.1,13,9999.9,0,999.9,0,4.3,13,2,13,2.9,999.9,23,*,17.6,*,99.99, ,999.9,101000
1001599999,2/11/1995,61.383,5.867,327,"BRINGELAND, NO",20.6,9,18.4,9,9999.9,0,999.9,0,6.6,9,1.6,9,4.1,999.9,23,*,17.6,*,0,I,999.9,0
1001599999,2/12/1995,61.383,5.867,327,"BRINGELAND, NO",26.9,11,22,11,9999.9,0,999.9,0,5.2,11,6.4,11,18.1,28.9,28.4,*,24.8,*,99.99, ,999.9,1000
1001599999,2/13/1995,61.383,5.867,327,"BRINGELAND, NO",37,14,29.9,14,9999.9,0,999.9,0,5.7,14,6.9,14,15.9,999.9,44.6,*,32,*,99.99, ,999.9,11000
1001599999,2/14/1995,61.383,5.867,327,"BRINGELAND, NO",39.4,10,32.9,10,9999.9,0,999.9,0,6.5,10,10.7,10,13,22.9,42.8,*,35.6,*,99.99, ,999.9,10000
1001599999,2/15/1995,61.383,5.867,327,"BRINGELAND, NO",36.3,11,33.1,11,9999.9,0,999.9,0,5.3,9,10.2,11,15.9,27,39.2,*,33.8,*,99.99, ,999.9,11000
1001599999,2/16/1995,61.383,5.867,327,"BRINGELAND, NO",34.5,16,34.5,16,9999.9,0,999.9,0,5.3,15,6.9,16,12,22,37.4,*,32,*,99.99, ,999.9,11000
1001599999,2/17/1995,61.383,5.867,327,"BRINGELAND, NO",32.5,14,32.5,14,9999.9,0,999.9,0,5.1,14,2.5,14,4.1,999.9,35.6,*,32,*,99.99, ,999.9,1000
1001599999,2/18/1995,61.383,5.867,327,"BRINGELAND, NO",31.3,10,31.3,10,9999.9,0,999.9,0,1.2,10,3.2,10,5.1,999.9,32,*,30.2,*,99.99, ,999.9,101000
1001599999,2/19/1995,61.383,5.867,327,"BRINGELAND, NO",33.1,8,32.9,8,9999.9,0,999.9,0,3.1,8,6.1,8,16.9,27,33.8,*,32,*,99.99, ,999.9,111000
1001599999,2/20/1995,61.383,5.867,327,"BRINGELAND, NO",32.5,14,31.9,14,9999.9,0,999.9,0,4.8,14,6.3,14,8.9,999.9,35.6,*,32,*,99.99, ,999.9,101000
1001599999,2/21/1995,61.383,5.867,327,"BRINGELAND, NO",29.1,12,26.5,12,9999.9,0,999.9,0,6.7,12,3.9,12,6,999.9,30.2,*,26.6,*,99.99, ,999.9,1000
1001599999,2/22/1995,61.383,5.867,327,"BRINGELAND, NO",32.8,14,30.5,14,9999.9,0,999.9,0,4.1,14,6.6,14,15.9,999.9,35.6,*,30.2,*,99.99, ,999.9,1000
1001599999,2/23/1995,61.383,5.867,327,"BRINGELAND, NO",31.2,15,29.1,15,9999.9,0,999.9,0,3.8,15,3.2,15,6,999.9,33.8,*,28.4,*,99.99, ,999.9,101000
1001599999,2/24/1995,61.383,5.867,327,"BRINGELAND, NO",30,17,30,17,9999.9,0,999.9,0,2.5,17,3.9,17,8,999.9,32,*,26.6,*,99.99, ,999.9,1000
1001599999,2/25/1995,61.383,5.867,327,"BRINGELAND, NO",28.8,9,26.6,9,9999.9,0,999.9,0,6.3,9,3.4,9,6,999.9,32,*,24.8,*,0,I,999.9,100000
1001599999,2/26/1995,61.383,5.867,327,"BRINGELAND, NO",25.9,8,24.1,8,9999.9,0,999.9,0,5.3,8,2.7,8,4.1,999.9,26.6,*,24.8,*,99.99, ,999.9,1000
1001599999,2/27/1995,61.383,5.867,327,"BRINGELAND, NO",30.1,14,28.9,14,9999.9,0,999.9,0,2.9,14,11,14,16.9,28,33.8,*,24.8,*,99.99, ,999.9,1000
1001599999,2/28/1995,61.383,5.867,327,"BRINGELAND, NO",33.1,13,30.2,13,9999.9,0,999.9,0,4.8,13,11.5,13,20,33,35.6,*,30.2,*,99.99, ,999.9,11100
1001599999,3/1/1995,61.383,5.867,327,"BRINGELAND, NO",30.1,13,29.9,13,9999.9,0,999.9,0,2.6,13,6,13,9.9,999.9,32,*,28.4,*,99.99, ,999.9,111100
1001599999,3/2/1995,61.383,5.867,327,"BRINGELAND, NO",28.7,11,28.4,11,9999.9,0,999.9,0,4.2,11,2.7,11,4.1,999.9,32,*,24.8,*,99.99, ,999.9,101000
1001599999,3/3/1995,61.383,5.867,327,"BRINGELAND, NO",27.8,16,23.9,16,9999.9,0,999.9,0,7,16,2.8,16,5.1,999.9,35.6,*,21.2,*,99.99, ,999.9,1000
1001599999,3/4/1995,61.383,5.867,327,"BRINGELAND, NO",26.9,7,16.3,7,9999.9,0,999.9,0,7,7,1.8,7,2.9,999.9,33.8,*,15.8,*,0,I,999.9,0
1001599999,3/5/1995,61.383,5.867,327,"BRINGELAND, NO",28.2,8,11.5,8,9999.9,0,999.9,0,6.7,8,7.9,8,12,16.9,30.2,*,26.6,*,0,I,999.9,0
1001599999,3/6/1995,61.383,5.867,327,"BRINGELAND, NO",31.2,11,17.1,11,9999.9,0,999.9,0,6.7,11,7.1,11,11.1,999.9,35.6,*,26.6,*,0,I,999.9,0
1001599999,3/7/1995,61.383,5.867,327,"BRINGELAND, NO",32,11,23.8,11,9999.9,0,999.9,0,5.7,11,6,11,11.1,21,37.4,*,30.2,*,99.99, ,999.9,1000
1001599999,3/8/1995,61.383,5.867,327,"BRINGELAND, NO",36,16,20.6,16,9999.9,0,999.9,0,6.8,16,16.4,16,21,36.9,37.4,*,33.8,*,0,I,999.9,0
1001599999,3/9/1995,61.383,5.867,327,"BRINGELAND, NO",36.4,13,20.1,13,9999.9,0,999.9,0,7,13,10.3,13,13,999.9,37.4,*,35.6,*,0,I,999.9,0
1001599999,3/10/1995,61.383,5.867,327,"BRINGELAND, NO",36.1,14,18.8,14,9999.9,0,999.9,0,7,14,8,14,14,999.9,37.4,*,32,*,0,I,999.9,0
1001599999,3/11/1995,61.383,5.867,327,"BRINGELAND, NO",39.8,6,17,6,9999.9,0,999.9,0,6.2,6,14.3,6,20,32.1,41,*,37.4,*,0,I,999.9,0
1001599999,3/12/1995,61.383,5.867,327,"BRINGELAND, NO",36.7,5,33.8,5,9999.9,0,999.9,0,4,5,13.8,5,15.9,999.9,37.4,*,35.6,*,99.99, ,999.9,10000
1001599999,3/13/1995,61.383,5.867,327,"BRINGELAND, NO",42.1,15,29,15,9999.9,0,999.9,0,5.9,15,13.8,15,19,28.9,42.8,*,41,*,0,I,999.9,0
1001599999,3/14/1995,61.383,5.867,327,"BRINGELAND, NO",31.9,16,31.9,16,9999.9,0,999.9,0,1,16,5.3,16,11.1,999.9,33.8,*,30.2,*,99.99, ,999.9,111000
1001599999,3/15/1995,61.383,5.867,327,"BRINGELAND, NO",29.8,16,17.1,16,9999.9,0,999.9,0,6.8,16,7.6,16,13,999.9,32,*,24.8,*,99.99, ,999.9,1000
1001599999,3/16/1995,61.383,5.867,327,"BRINGELAND, NO",31.4,12,12.9,12,9999.9,0,999.9,0,7,12,8.9,12,13,22,33.8,*,26.6,*,0,I,999.9,0
1001599999,3/17/1995,61.383,5.867,327,"BRINGELAND, NO",32.6,16,31.9,16,9999.9,0,999.9,0,3.6,16,6.7,16,16.9,25.1,33.8,*,30.2,*,99.99, ,999.9,1000
1001599999,3/18/1995,61.383,5.867,327,"BRINGELAND, NO",30.4,8,27.9,8,9999.9,0,999.9,0,5.1,8,5.2,8,8.9,999.9,35.6,*,24.8,*,99.99, ,999.9,1000
1001599999,3/19/1995,61.383,5.867,327,"BRINGELAND, NO",35.3,7,28.9,7,9999.9,0,999.9,0,5.3,7,4.4,7,8,999.9,42.8,*,30.2,*,99.99, ,999.9,101000
1001599999,3/20/1995,61.383,5.867,327,"BRINGELAND, NO",32.6,13,31.2,13,9999.9,0,999.9,0,4.2,13,9.7,13,15.9,27,35.6,*,30.2,*,99.99, ,999.9,1000
1001599999,3/21/1995,61.383,5.867,327,"BRINGELAND, NO",31.7,12,22.7,12,9999.9,0,999.9,0,7,12,6.8,12,9.9,999.9,33.8,*,28.4,*,0,I,999.9,0
1001599999,3/22/1995,61.383,5.867,327,"BRINGELAND, NO",34.8,11,34.8,11,9999.9,0,999.9,0,0.6,11,4.6,11,6,999.9,37.4,*,30.2,*,99.99, ,999.9,111000
